Date,rank,song_id,title,artist,genre,genre_coding,date_coding
201505,29,5710087,자꾸 보고 싶어,박지민,Drama,4,5
201505,30,5704397,이럴거면 그러지말지 (Feat. Young K),백아연,Ballad,0,5
201505,31,5674470,연예할래,박보람,Dance,7,5
201505,32,5536206,목소리,노을,Ballad,0,5
201505,33,4781068,Tee Shirt,Birdy,Foreign Movie,8,5
201505,34,4699126,Thinking Out Loud,Ed Sheeran,Rock,3,5
201505,35,4417811,네가 좋아 (Feat. 박원 Of 원모어찬스),안녕하신가영,Folk,1,5
201505,36,4007776,아이보리,가을방학,Rock,3,5
201505,37,3710813,입 맞추고 싶어요,정엽,Drama,4,5
201505,38,3568916,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보,Folk,1,5
201505,39,1211622,입맞춤,장세용,New Age,10,5
201505,40,5408544,너 그리고 너,유승우,Folk,1,5
201505,41,4665851,예뻐,더필름,Rock,3,5
201505,42,2540248,두근두근,더필름,Dance,7,5
201505,43,5704765,동네술집,허각,Ballad,0,5
201505,44,5690600,답가 (Feat. 박윤하),김성규,Rock,3,5
201505,45,5690599,Daydream (Feat. Borderline : TABLO & JW),김성규,Ballad,0,5
201505,46,5690598,Kontrol,김성규,Ballad,0,5
201505,47,5690597,Alive,김성규,Ballad,0,5
201505,48,5690595,27,김성규,Rock,3,5
201505,49,5684826,BAE BAE,BIGBANG,Rap / Hip-hop,5,5
201505,50,5681153,I NEED U,방탄소년단,Rap / Hip-hop,5,5
201506,1,5704397,이럴거면 그러지말지 (Feat. Young K),백아연,Ballad,0,6
201506,2,5713758,둘 하나 둘,어반자카파,R&B / Soul,2,6
201506,3,5717521,넌 나의 집,포맨,Ballad,0,6
201506,4,5713757,보통의 연애,어반자카파,R&B / Soul,2,6
201506,5,5625243,너이고 싶어,윤현상,Ballad,0,6
201506,6,5704765,동네술집,허각,Ballad,0,6
201506,7,5713760,흔들어,어반자카파,R&B / Soul,2,6
201506,8,5708377,Get (Feat. Beenzino),어반자카파,R&B / Soul,2,6
201506,9,2232285,귤,요조,Rock,3,6
201506,10,1948504,Baby I Love You,정엽,R&B / Soul,2,6
201506,11,4792292,The Simple Things,Michael Carreon,R&B / Soul,2,6
201506,12,1659855,Love Is You (MBC 황금어장 `라디오스타` 시스타 효린 열창곡),Chrisette Michele,R&B / Soul,2,6
201506,13,5731852,그리고 안녕,이승기,Ballad,0,6
201506,14,5713761,불안한 연애,어반자카파,R&B / Soul,2,6
201506,15,5668985,그 남잔 말야,엠씨더맥스,Drama,4,6
201506,16,2689561,So Weightless,David Choi,Folk,1,6
201506,17,2333749,소주와 삼겹살,공씨디,Rap / Hip-hop,5,6
201506,18,1590574,Like A Star,Corinne Bailey Rae,R&B / Soul,2,6
201506,19,3710813,입 맞추고 싶어요,정엽,Drama,4,5
201506,20,2960591,곳에 따라 비,가을방학,Folk,1,6
201506,21,5742255,느껴 (My Everything),범키,R&B / Soul,2,6
201506,22,5734251,밥을 먹어요,장재인,Folk,1,6
201506,23,5700639,마음,아이유,Folk,1,6
201506,24,4793488,궁금해 (Curious About You),이경현,Ballad,0,6
201506,25,3941434,내안에 하늘과 숲과 그대를,원 모어 찬스 (one more chance),Rock,3,6
201506,26,3443267,기억을 걷다,김범수,Ballad,0,6
201506,27,5690942,너의 얘길 들어줄게,윤미래,Drama,4,6
201506,28,3862489,1000/30,집나온 거위,Folk,1,6
201506,29,3813657,"입장정리 (Feat. 최자, Simon D)",프라이머리,Rap / Hip-hop,5,6
201506,30,3782257,Happy Things,제이레빗,Ballad,0,6
201506,31,3319662,"봄 날, 버스 안에서 (Feat. 유정균 Of Serengeti)",곰PD,Ballad,0,6
201506,32,2960597,인기 있는 남자애,가을방학,Folk,1,6
201506,33,1509829,기다리다,윤하 (YOUNHA),Ballad,0,6
201506,34,5708368,Crazy,스탠딩 에그,Folk,1,6
201506,35,5694202,오늘안에,소프티 웨이브,Rock,3,6
201506,36,4450170,"좋았던 건, 아팠던 건 (When I Was... When U Were...) (Sung by f (KRYSTAL) & CHEN (EXO))",S.M. THE BALLAD,Ballad,0,6
201506,37,3599074,Zodiac,40,R&B / Soul,2,6
201506,38,2584594,산책,온유,Ballad,0,6
201506,39,5608641,36.5 (With 신세경),공기남,Ballad,0,6
201506,40,5480265,"마카롱 (Feat. 배치기, 임한별, 김재경 Of Rainbow)",미친감성,R&B / Soul,2,6
201506,41,5405804,Runaway (U & I),Galantis,Electronica,9,6
201506,42,4467085,"사랑노래 같은 이별노래 (Feat. 한올, 리와인)",어쿠루브,Folk,0,6
201506,43,3819123,새벽녘,에피톤 프로젝트,Ballad,0,6
201506,44,3165789,다시 (Feat. 웰(Well)),디갈로 (Degalo),Ballad,0,6
201506,45,3053848,기다리다 (Acoustic Ver.),윤하 (YOUNHA),Ballad,0,6
201506,46,3038883,내일을 묻는다,제이레빗,Folk,1,6
201506,47,2676936,Never Forget,브라운 아이드 소울,R&B / Soul,2,6
201506,48,2213097,Gypsy Girl (집시걸),윈터플레이,Jazz,10,6
201506,49,5648984,러브렌즈,박시환,Rock,3,6
201506,50,5600065,가끔 네 생각이 나는 걸,안녕하신가영,Folk,1,6
201507,1,2584594,산책,온유,Ballad,0,7
201507,2,1920490,빗소리,윤하 (YOUNHA),Ballad,0,7
201507,3,5713422,와리가리,혁오 (HYUKOH),Rock,3,7
201507,4,5385974,위잉위잉,혁오 (HYUKOH),Rock,3,7
201507,5,5385973,Ohio,혁오 (HYUKOH),Rock,3,7
201507,6,5760115,IF YOU,BIGBANG,Folk,1,7
201507,7,5385971,Lonely,혁오 (HYUKOH),Rock,3,7
201507,8,5719287,WE LIKE 2 PARTY,BIGBANG,Rap / Hip-hop,5,7
201507,9,5684826,BAE BAE,BIGBANG,Rap / Hip-hop,5,7
201507,10,5389475,양화대교,Zion.T,R&B / Soul,2,7
201507,11,5386171,너무 보고싶어,어쿠스틱 콜라보,Drama,4,7
